scene,module,start,end,duration_seconds,on_screen_copy,visual_direction,asset,transition,audio_cue
1,hook,00:00:00:000,00:00:01:800,1.8,CAESAR IS DEAD.,"A non-graphic symbolic aftermath in the Senate: a fallen laurel wreath, shocked senators in silhouette, Caesar obscured by foreground robes, no visible injury.",assets/source/caesar/01-hook-fate.png,black flash + impact,low impact
2,challenge,00:00:01:800,00:00:03:200,1.4,CAN YOU CHANGE HIS FATE?,Freeze the fate endpoint and make the challenge dominant.,assets/source/caesar/01-hook-fate.png,freeze + blur,brief silence / heartbeat
3,rewind,00:00:03:200,00:00:05:000,1.8,REWIND.,The Senate freezes at the moment of crisis. → The crowd and senators move backward through the chamber. → Caesar returns to the Senate steps before the danger. → Rome welcomes Caesar beneath banners and pale daylight.,assets/source/caesar/02-rewind-crisis.png | assets/source/caesar/03-rewind-senate.png | assets/source/caesar/04-rewind-triumph.png,reverse cuts + motion blur,rewind sweep
4,role,00:00:05:000,00:00:07:200,2.2,YOU ARE BRUTUS. / CAESAR TRUSTS YOU.,"Brutus alone in a bright marble corridor, holding an unopened sealed letter, divided light across his face, premium historical editorial illustration.",assets/source/caesar/brutus.png,soft push-in,music re-enters
5,conflict,00:00:07:200,00:00:10:200,3,CASSIUS WANTS YOU TO BETRAY CAESAR. / BUT CAESAR CALLS YOU HIS FRIEND. / SAVE A FRIEND / OR SAVE THE REPUBLIC?,"Brutus centered between Caesar and Cassius as separate portrait panels; trust on one side, conspiracy on the other.",assets/source/caesar/caesar.png | assets/source/caesar/cassius.png,portrait split,low pulse builds
6,choice,00:00:10:200,00:00:13:600,3.4,WHAT WOULD YOU DO? / WARN CAESAR / JOIN CASSIUS / DECEIVE THEM BOTH,Show real or faithful choice UI and pause before revealing the answer.,assets/source/ui/caesar-choice-screen.png,UI cards stagger in,UI open + one-second pause
7,selection,00:00:13:600,00:00:14:500,0.9,YOU CHOOSE: / DECEIVE THEM BOTH,Highlight the selected option and fade the others.,assets/source/ui/caesar-choice-screen.png,selected card highlight,click + short hit
8,consequences,00:00:14:500,00:00:19:800,5.3,CAESAR / DELAYS THE SENATE MEETING. / CASSIUS / SUSPECTS A TRAITOR. / ANTONY / MOBILIZES THE GUARDS. / ROME ENTERS A NEW CRISIS.,CAESAR: Caesar pauses outside the Senate while an aide presents a sealed warning. | CASSIUS: Cassius studies the conspirators as trust fractures across the group. | ANTONY: Antony gives a quiet order as guards shift position near the Senate.,assets/source/caesar/caesar.png | assets/source/caesar/cassius.png | assets/source/caesar/antony.png,three rapid result cards,three consequence hits
9,product,00:00:19:800,00:00:23:000,3.2,EVERY PLAYER CHOOSES. / EVERY CHOICE CHANGES THE SAME WORLD.,Connect multiple role cards inside one shared world and briefly show real UI.,assets/source/caesar/rome-senate.png | assets/source/ui/caesar-choice-screen.png,role network reveal,music lift
10,logo,00:00:23:000,00:00:27:000,4,OUR MANY WORLDS / ONE WORLD. MANY PERSPECTIVES. NO STORY IS WRITTEN IN ADVANCE. / PLAY AS BRUTUS.,Insert the existing logo video and preserve one CTA.,assets/source/brand/our-many-worlds-logo.mp4,existing logo hard cut,existing logo sonic mark
